onset	duration	trial_type	value	sample	StimulusPresentation
0.0	0.001	begin	1	0	PsychophysicsToolbox
0.499	0.001	stim_on	4	499	PsychophysicsToolbox
1.482	0.001	resp	3	1482	PsychophysicsToolbox
1.489	0.001	resp	3	1489	PsychophysicsToolbox
1.494	0.001	resp	3	1494	PsychophysicsToolbox
1.499	0.001	resp	3	1499	PsychophysicsToolbox
1.504	0.001	resp	3	1504	PsychophysicsToolbox
1.509	0.001	resp	3	1509	PsychophysicsToolbox
1.514	0.001	resp	3	1514	PsychophysicsToolbox
1.519	0.001	resp	3	1519	PsychophysicsToolbox
1.524	0.001	resp	3	1524	PsychophysicsToolbox
1.529	0.001	resp	3	1529	PsychophysicsToolbox
1.539	0.001	resp	3	1539	PsychophysicsToolbox
1.544	0.001	resp	3	1544	PsychophysicsToolbox
1.549	0.001	resp	3	1549	PsychophysicsToolbox
1.554	0.001	resp	3	1554	PsychophysicsToolbox
1.559	0.001	resp	3	1559	PsychophysicsToolbox
1.564	0.001	resp	3	1564	PsychophysicsToolbox
1.569	0.001	resp	3	1569	PsychophysicsToolbox
1.574	0.001	resp	3	1574	PsychophysicsToolbox
1.579	0.001	resp	3	1579	PsychophysicsToolbox
1.584	0.001	resp	3	1584	PsychophysicsToolbox
1.594	0.001	resp	3	1594	PsychophysicsToolbox
1.599	0.001	resp	3	1599	PsychophysicsToolbox
1.604	0.001	resp	3	1604	PsychophysicsToolbox
1.609	0.001	resp	3	1609	PsychophysicsToolbox
1.952	0.001	stim_on	4	1952	PsychophysicsToolbox
2.871	0.001	resp	3	2871	PsychophysicsToolbox
2.878	0.001	resp	3	2878	PsychophysicsToolbox
2.883	0.001	resp	3	2883	PsychophysicsToolbox
2.888	0.001	resp	3	2888	PsychophysicsToolbox
2.893	0.001	resp	3	2893	PsychophysicsToolbox
2.898	0.001	resp	3	2898	PsychophysicsToolbox
2.903	0.001	resp	3	2903	PsychophysicsToolbox
2.908	0.001	resp	3	2908	PsychophysicsToolbox
2.913	0.001	resp	3	2913	PsychophysicsToolbox
2.918	0.001	resp	3	2918	PsychophysicsToolbox
2.929	0.001	resp	3	2929	PsychophysicsToolbox
2.934	0.001	resp	3	2934	PsychophysicsToolbox
2.939	0.001	resp	3	2939	PsychophysicsToolbox
2.944	0.001	resp	3	2944	PsychophysicsToolbox
2.949	0.001	resp	3	2949	PsychophysicsToolbox
2.954	0.001	resp	3	2954	PsychophysicsToolbox
2.959	0.001	resp	3	2959	PsychophysicsToolbox
2.964	0.001	resp	3	2964	PsychophysicsToolbox
2.969	0.001	resp	3	2969	PsychophysicsToolbox
2.979	0.001	resp	3	2979	PsychophysicsToolbox
3.287	0.001	stim_on	4	3287	PsychophysicsToolbox
4.197	0.001	resp	3	4197	PsychophysicsToolbox
4.204	0.001	resp	3	4204	PsychophysicsToolbox
4.209	0.001	resp	3	4209	PsychophysicsToolbox
4.214	0.001	resp	3	4214	PsychophysicsToolbox
4.219	0.001	resp	3	4219	PsychophysicsToolbox
4.224	0.001	resp	3	4224	PsychophysicsToolbox
4.229	0.001	resp	3	4229	PsychophysicsToolbox
4.234	0.001	resp	3	4234	PsychophysicsToolbox
4.239	0.001	resp	3	4239	PsychophysicsToolbox
4.244	0.001	resp	3	4244	PsychophysicsToolbox
4.254	0.001	resp	3	4254	PsychophysicsToolbox
4.259	0.001	resp	3	4259	PsychophysicsToolbox
